Chryseobacterium gleum
Chryseobacterium indologenes
Chrysosporium
Citrobacter
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter farmeri
Citrobacter freundii
Citrobacter freundii complex
Citrobacter gillenii
Citrobacter koseri
Citrobacter murliniae
Citrobacter rodentium
Citrobacter sedlakii
Citrobacter werkmanii
Citrobacter youngae
Cladophialophora
Cladosporium
Cladosporium cladosporioides
Cladosporium herbarum
Cladosporium sphaerospermum
Clavispora
Clavispora lusitaniae
Clostridioides
Clostridioides difficile
Clostridium
Clostridium baratii
Clostridium beijerinckii
Clostridium botulinum
Clostridium butyricum
Clostridium cadaveris
Clostridium carnis
Clostridium celerecrescens
Clostridium cochlearium
Clostridium cocleatum
Clostridium disporicum
Clostridium fallax
Clostridium haemolyticum
Clostridium hastiforme
Clostridium innocuum
Clostridium intestinale
Clostridium leptum
Clostridium malenominatum
Clostridium novyi
Clostridium paraputrificum
Clostridium perfringens
Clostridium putrefaciens
Clostridium ramosum
Clostridium sardiniense
Clostridium septicum
Clostridium sphenoides
Clostridium spiroforme
Clostridium sporogenes
Clostridium sporosphaeroides
Clostridium subterminale
Clostridium symbiosum
Clostridium tertium
Clostridium tetani
"Clostridium, not C. perfringens"
Coccidioides
Coccidioides immitis
Coccidioides posadasii
Cokeromyces
Cokeromyces recurvatus
Coliform bacteria
Collinsella
Collinsella aerofaciens
Collinsella intestinalis
Collinsella stercoris
Colorado tick fever virus
Comamonas
Comamonas aquatica
Comamonas kerstersii
Comamonas terrigena
Comamonas testosteroni
Conidiobolus
Conidiobolus coronatus
Conidiobolus incongruus
Coniothyrium
Coprococcus
Coprococcus eutactus
Corynebacterium
Corynebacterium accolens
Corynebacterium afermentans
Corynebacterium ammoniagenes
Corynebacterium amycolatum
Corynebacterium appendicis
Corynebacterium aquilae
Corynebacterium argentoratense
Corynebacterium atypicum
Corynebacterium aurimucosum
Corynebacterium auris
Corynebacterium auriscanis
Corynebacterium beticola
Corynebacterium bovis
Corynebacterium callunae
Corynebacterium camporealensis
Corynebacterium capitovis
Corynebacterium casei
Corynebacterium caspium
Corynebacterium ciconiae
Corynebacterium confusum
Corynebacterium coyleae
Corynebacterium cystitidis
Corynebacterium diphtheriae
Corynebacterium durum
Corynebacterium efficiens
Corynebacterium falsenii
Corynebacterium felinum
Corynebacterium flavescens
Corynebacterium freneyi
Corynebacterium genitalium
Corynebacterium glaucum
Corynebacterium glucuronolyticum
Corynebacterium glutamicum
Corynebacterium halotolerans
Corynebacterium imitans
Corynebacterium jeikeium
Corynebacterium kroppenstedtii
Corynebacterium kutscheri
Corynebacterium lipophiloflavum
Corynebacterium macginleyi
Corynebacterium manihot
Corynebacterium massiliense
Corynebacterium mastitidis
Corynebacterium matruchotii
Corynebacterium mediolanum
Corynebacterium minutissimum
Corynebacterium mucifaciens
Corynebacterium murisepticum
Corynebacterium mycetoides
Corynebacterium nephridii
Corynebacterium phocae
Corynebacterium pilosum
Corynebacterium propinquum
Corynebacterium pseudodiphtheriticum
Corynebacterium pseudogenitalium
Corynebacterium pseudotuberculosis
Corynebacterium pseudotuberculostearicum
Corynebacterium pyruviciproducens
Corynebacterium renale
Corynebacterium resistens
Corynebacterium riegelii
Corynebacterium rubrum
Corynebacterium simulans
Corynebacterium singulare
Corynebacterium sphenisci
Corynebacterium spheniscorum
Corynebacterium striatum
Corynebacterium suicordis
Corynebacterium sundsvallense
Corynebacterium tenuis
Corynebacterium terpenotabidum
Corynebacterium testudinoris
Corynebacterium thomssenii
Corynebacterium tuberculostearicum
Corynebacterium tuscaniense
Corynebacterium ulcerans
Corynebacterium urealyticum
Corynebacterium ureicelerivorans
Corynebacterium variabile
Corynebacterium viscosum
Corynebacterium vitaeruminis
Corynebacterium xerosis
"Corynebacterium, not C. diphtheriae"
"Corynebacterium, not C. jeikeium"
coryneform gram positive bacilli
Coxiella
Coxiella burnetii
Creutzfeldt-Jakob agent
Crimean-Congo hemorrhagic fever virus
Cronobacter
Cronobacter dublinensis
Cronobacter malonaticus
Cronobacter muytjensii
Cronobacter sakazakii
Cronobacter turicensis
Cryptobacterium
