"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000051620",0.414915250734378,10.4623750513261,5.52188763198009,6.30893581168512e-08,2.11702375278052e-05,7.88426339365585,"HEBP2"
"ENSG00000105778",0.317363143712534,5.99947091976011,5.51895574283583,6.40697208982528e-08,2.11702375278052e-05,7.86985783286498,"AVL9"
"ENSG00000111670",-0.28867327544176,7.56262689928031,-5.50720535274775,6.81496466487929e-08,2.17182270817988e-05,7.81218810729127,"GNPTAB"
"ENSG00000135372",-0.380190028157262,7.06118596126146,-5.50324345757582,6.95814106054051e-08,2.17182270817988e-05,7.79276688813796,"NAT10"
"ENSG00000204397",0.487642176641679,7.25157729184277,5.50034928506903,7.06577713942156e-08,2.17182270817988e-05,7.77843843647362,"CARD16"
"ENSG00000164104",0.439584294405247,10.9512588794582,5.48481414105405,7.66480506325882e-08,2.30240292093391e-05,7.70243434223063,"HMGB2"
"ENSG00000151726",0.446355586805018,12.2457565945337,5.4803584937674,7.84675732689577e-08,2.30467981310181e-05,7.68053319738333,"ACSL1"
"ENSG00000136560",0.515986181689352,7.51857697026819,5.47212905122164,8.19199380982781e-08,2.35377352574987e-05,7.64032791516,"TANK"
"ENSG00000137767",0.379362767874664,9.0142983851213,5.46537567766054,8.48278091245474e-08,2.38546628340243e-05,7.60773435705662,"SQOR"
"ENSG00000106392",0.474868018014953,6.98957395822911,5.45830418586032,8.80260991339537e-08,2.42383531719472e-05,7.573185605596,"C1GALT1"
"ENSG00000155307",0.729426524204127,8.3559686515337,5.45192930953949,9.10412267220135e-08,2.4556977420099e-05,7.54176934421903,"SAMSN1"
"ENSG00000069248",-0.226734442733331,7.70683776173855,-5.44736598814478,9.31741137673621e-08,2.46296452332645e-05,7.52011295139127,"NUP133"
"ENSG00000032444",0.439288678513558,9.85353118810512,5.43862727109752,9.75199958874981e-08,2.50352149486272e-05,7.47756339520095,"PNPLA6"
"ENSG00000185222",0.379290601173007,6.35779418610648,5.43636015129269,9.86619159676102e-08,2.50352149486272e-05,7.46668744540315,"TCEAL9"
"ENSG00000156853",-0.31797223575293,7.80888787925607,-5.43301571776656,1.0039088993548e-07,2.50352149486272e-05,7.4504707277049,"ZNF689"
"ENSG00000101695",-0.340048662966572,6.8302654501442,-5.41285984905958,1.11451541738502e-07,2.72787967992182e-05,7.35291666442789,"RNF125"
"ENSG00000111669",0.297061070999947,9.25487644057862,5.38767254672575,1.26946329972004e-07,3.04353452738194e-05,7.23144298238654,"TPI1"
