"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000196139",0.261834871845297,3.16421399102997,1.35936354505059,0.177743122036998,0.69175619065223,-5.02080625476808,"AKR1C3"
"ENSG00000118496",0.309280480828,3.46662276978103,1.35919675533916,0.177795747575595,0.69175619065223,-5.03684382646482,"FBXO30"
"ENSG00000122592",0.686163465560185,-0.10176379332191,1.35917574010664,0.177802379145754,0.69175619065223,-4.59037812405376,"HOXA7"
"ENSG00000176463",0.181823922968871,7.01690286606283,1.35910849148985,0.177823601390224,0.69175619065223,-5.09384536117365,"SLCO3A1"
"ENSG00000267314",-0.844599905371553,-2.13115285736334,-1.35895151524275,0.177873147254331,0.69175619065223,-4.48186508333499,"AC104532.1"
"ENSG00000153066",0.156567818373921,5.0700259367181,1.35891573320897,0.177884442476996,0.69175619065223,-5.16946586041367,"TXNDC11"
"ENSG00000112320",-0.556089789109987,-0.0335562031831177,-1.35888153204648,0.1778952391783,0.69175619065223,-4.54784630158503,"SOBP"
"ENSG00000054148",-0.301092461195844,2.85412385989978,-1.35823692771219,0.178098822272572,0.692401140434397,-4.94791514105913,"PHPT1"
"ENSG00000105373",-0.237382570009459,6.29859063075853,-1.3579972258564,0.178174571480536,0.692548937940227,-5.14539400601502,"NOP53"
"ENSG00000007545",-0.213217601276379,3.82485664155607,-1.35781620429401,0.178231793058592,0.692622231714325,-5.10243311173024,"CRAMP1"
"ENSG00000149761",0.158557786905781,4.79836817266984,1.35769883379391,0.178268901744496,0.692622231714325,-5.16499249634411,"NUDT22"
"ENSG00000166391",-0.636730224868068,-1.30486350994508,-1.3575628740063,0.178311895069752,0.692642650182057,-4.49863049053307,"MOGAT2"
"ENSG00000171189",-0.212704233691345,2.47724025209824,-1.35673315380479,0.178574440232969,0.693515716469723,-4.8889610949917,"GRIK1"
"ENSG00000188042",-0.198654924355868,4.36933947318364,-1.35622802065277,0.178734420928234,0.693559534319159,-5.14053743373884,"ARL4C"
"ENSG00000025708",0.259349189323319,7.81746332381391,1.35613516670242,0.178763840507202,0.693559534319159,-5.04380556800212,"TYMP"
"ENSG00000255552",0.441681034812012,1.51380842416737,1.35591095068371,0.178834895588993,0.693559534319159,-4.7705690455017,"LY6G6E"
"ENSG00000174844",0.149385391215726,2.89846073359964,1.35587551233211,0.17884612812218,0.693559534319159,-4.97589544858287,"DNAH12"
"ENSG00000143502",-0.515992134462208,2.10646891034206,-1.35574627102639,0.178887096949876,0.693559534319159,-4.81519933820698,"SUSD4"
"ENSG00000110651",-0.237901371158354,5.54376948628996,-1.35554570832452,0.178950688366103,0.693559534319159,-5.17368279198594,"CD81"
"ENSG00000111530",-0.218396380843569,5.20107710168128,-1.35549745906464,0.17896598907289,0.693559534319159,-5.17468051683902,"CAND1"
"ENSG00000137745",0.270260236363435,0.471511326625408,1.35521613646204,0.179055221252736,0.693559534319159,-4.61326572696006,"MMP13"
"ENSG00000185624",0.157560303999364,6.54621297635275,1.35509835366362,0.179092590558414,0.693559534319159,-5.13065101793144,"P4HB"
"ENSG00000186075",0.150946809959294,3.49911841951258,1.35491510769946,0.179150741302634,0.693559534319159,-5.06494475616848,"ZPBP2"
"ENSG00000184371",0.255265999005938,4.09122978838459,1.3541629694327,0.179389572467517,0.693559534319159,-5.13918840650935,"CSF1"
"ENSG00000146955",0.178393502286195,3.93250437737814,1.353915455765,0.179468219719809,0.693559534319159,-5.11010179792593,"RAB19"
"ENSG00000172057",-0.25532240964138,4.99327191174911,-1.35345646838503,0.179614131636518,0.693559534319159,-5.17346380008586,"ORMDL3"
"ENSG00000162706",0.495435929841588,-0.146741460313551,1.35343277917632,0.179621664863198,0.693559534319159,-4.57535294349793,"CADM3"
"ENSG00000227051",-0.40218799794737,1.00383985128435,-1.35342373135968,0.179624542154272,0.693559534319159,-4.69952541028627,"C14orf132"
"ENSG00000177700",-0.197721541453448,3.29987170235346,-1.35326802814183,0.179674062712933,0.693559534319159,-5.01685229436233,"POLR2L"
"ENSG00000144120",-0.3220345460038,1.84846113748547,-1.35325778772561,0.179677319983533,0.693559534319159,-4.78559409894671,"TMEM177"
"ENSG00000143614",0.157164740020935,6.92329357409049,1.35316893779567,0.179705583236829,0.693559534319159,-5.1083625127364,"GATAD2B"
"ENSG00000104823",-0.167080933591665,6.36046534432365,-1.35314995623046,0.179711621728265,0.693559534319159,-5.14817640113964,"ECH1"
"ENSG00000133475",0.469143354961114,0.531846206119049,1.35313223484505,0.179717259464874,0.693559534319159,-4.63530400728419,"GGT2"
"ENSG00000213047",0.236523106986033,5.03395942811918,1.35312563250716,0.179719359912875,0.693559534319159,-5.1738974518682,"DENND1B"
"ENSG00000124762",0.278683272248671,4.08324884701985,1.35311248332472,0.179723543209738,0.693559534319159,-5.13659771844755,"CDKN1A"
"ENSG00000164039",0.165001455525005,3.53330238531198,1.3531058274393,0.179725660749301,0.693559534319159,-5.06787121619278,"BDH2"
"ENSG00000097033",0.294254641078562,7.24758270162127,1.35309724176939,0.179728392268877,0.693559534319159,-5.09369346628707,"SH3GLB1"
