gene_id,gene_name,chr,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000205502,C2CD4B,15,0.151932137,-1.073465328,0.483043496,0.62992758,0.900443209,-5.081688093
ENSG00000205517,RGL3,19,-0.181617948,2.657278028,-0.686272912,0.493838757,0.846146056,-5.583837618
ENSG00000205531,NAP1L4,11,0.035587161,7.467187098,0.328795189,0.742872277,0.935163085,-5.963340342
ENSG00000205542,TMSB4X,X,0.276631687,12.26446656,1.818107692,0.071492672,0.428524457,-4.25148136
ENSG00000205544,TMEM256,17,0.705605487,1.766261086,2.306097315,0.022786975,0.262969825,-3.345151972
ENSG00000205549,C9orf92,9,0.353113175,-0.864618732,0.553635185,0.580838298,0.884353176,-5.086477932
ENSG00000205560,CPT1B,22,-0.316085673,4.249488745,-2.077537612,0.039842483,0.340436418,-4.01103043
ENSG00000205571,SMN2,5,0.077202281,4.937617563,0.473675865,0.636574697,0.901672347,-5.956027176
ENSG00000205572,SERF1B,5,-0.394846321,3.355665401,-2.192944385,0.030201422,0.300695089,-3.706787857
ENSG00000205581,HMGN1,21,0.208562079,5.310108774,2.214737446,0.028628626,0.293068964,-3.779893812
ENSG00000205592,MUC19,12,0.144840911,2.826122728,0.65835337,0.511547295,0.853450365,-5.646569135
ENSG00000205593,DENND6B,22,-0.090494901,1.094600596,-0.396634548,0.692327519,0.91993206,-5.398344407
ENSG00000205609,EIF3CL,16,0.008795275,2.063529978,0.020349369,0.983797803,0.996052199,-5.647750458
ENSG00000205629,LCMT1,16,0.023900086,4.977315113,0.185098123,0.853458378,0.967025806,-6.049416089
ENSG00000205639,MFSD2B,2,-0.15500433,3.166987815,-0.75013197,0.454614462,0.828887913,-5.652396216
ENSG00000205642,VCX3B,X,0.01153862,-2.721583164,0.026243915,0.979105521,0.994679775,-4.998719911
ENSG00000205643,CDPF1,22,-0.17938186,2.029006474,-0.749004192,0.455291413,0.828887913,-5.463772293
ENSG00000205649,HTN3,4,0.048325058,5.249623317,0.409600828,0.682814593,0.917652416,-5.996134941
ENSG00000205659,LIN52,14,0.019606404,3.78854666,0.182518928,0.855477404,0.967380229,-5.94579037
ENSG00000205669,ACOT6,14,-0.126238046,-2.133293102,-0.326055279,0.744939226,0.936228703,-4.998037521
ENSG00000205670,SMIM11A,21,0.055913058,3.446039097,0.557209456,0.578401668,0.883225967,-5.786165503
ENSG00000205678,TECRL,4,-0.025682165,5.260683537,-0.210518288,0.83361317,0.961824689,-6.058614784
ENSG00000205683,DPF3,14,0.243797484,2.65053286,0.905931163,0.366751852,0.776523707,-5.417452606
ENSG00000205704,LINC00634,22,-0.136679072,-2.24824375,-0.34182095,0.733071709,0.932674031,-4.996392932
ENSG00000205707,ETFRF1,12,0.180642458,5.355748147,1.055271701,0.293379211,0.72778484,-5.549535945
ENSG00000205710,C17orf107,17,0.075555889,0.580121538,0.36591292,0.715061589,0.927226058,-5.331396523
ENSG00000205726,ITSN1,21,0.03954795,4.380923419,0.345913416,0.730001526,0.931482759,-5.976159023
ENSG00000205730,ITPRIPL2,16,-0.147275428,2.870474169,-1.504806495,0.134949499,0.561137993,-4.794430923
ENSG00000205744,DENND1C,19,-0.27110013,4.827707926,-2.858043988,0.005011195,0.135657046,-2.295405088
ENSG00000205754,SLCO1B7,12,-0.300022479,2.011252231,-1.154104718,0.250705272,0.69258116,-5.080007104
ENSG00000205755,CRLF2,X,-0.095635674,-1.394586163,-0.305821855,0.760259717,0.940743259,-5.083307347
ENSG00000205758,CRYZL1,21,0.073524181,6.100770064,0.963393073,0.33724942,0.756246287,-5.633994215
ENSG00000205765,C5orf51,5,0.243998328,4.178519468,2.044734403,0.043024961,0.350501613,-4.059230904
ENSG00000205777,GAGE1,X,0.109121436,0.898125952,0.761190899,0.448006815,0.823695603,-5.24749781
ENSG00000205784,ARRDC5,19,0.266100785,2.507752945,1.881114944,0.062331634,0.40338301,-4.178728081
ENSG00000205795,CYS1,2,-0.006273067,-1.0933335,-0.012931943,0.989703141,0.996473218,-5.132264213
ENSG00000205808,PLPP6,9,0.028883298,1.432623837,0.191803305,0.848214056,0.965764316,-5.524119183
ENSG00000205809,KLRC2,12,-0.032192265,1.487643058,-0.081145934,0.935458408,0.984876137,-5.517307234
ENSG00000205810,KLRC3,12,0.056684004,-0.352611627,0.111787716,0.911174808,0.97975787,-5.209058009
ENSG00000205835,GMNC,3,0.007084091,-1.698981736,0.016458221,0.986895625,0.996052199,-5.083083489
ENSG00000205838,TTC23L,5,0.050020131,0.166888633,0.128961231,0.897599956,0.976721442,-5.329988281
ENSG00000205846,CLEC6A,12,0.541516976,2.712238331,2.397509417,0.018018169,0.23588122,-3.230255306
ENSG00000205856,C22orf42,22,-0.159501165,-0.272326394,-0.505298833,0.614257464,0.895289133,-5.184043395
ENSG00000205857,NANOGNB,12,-0.190446785,1.677546674,-0.914558572,0.362221224,0.774672335,-5.252286025
ENSG00000205858,LRRC72,7,0.418031685,-1.408756617,0.869139574,0.386471586,0.788634066,-4.887190946
ENSG00000205863,C1QTNF9B,13,0.361532463,-1.317624822,0.795134263,0.428074301,0.813566443,-4.888486559
ENSG00000205864,KRTAP5-6,11,-0.163437784,-2.788632871,-0.363689965,0.716716847,0.927540072,-4.926580871
ENSG00000205867,KRTAP5-2,11,0.189182551,-1.916000811,0.486586179,0.627421597,0.899453909,-4.993034484
ENSG00000205869,KRTAP5-1,11,0.048226442,-2.256650263,0.119435095,0.905126431,0.978310495,-5.027213001
ENSG00000205882,DEFB134,8,-0.048236008,-2.604254405,-0.099423855,0.920964367,0.982654717,-4.974414902
ENSG00000205883,DEFB135,8,-0.524480871,-2.724534805,-0.982032751,0.328020494,0.747938182,-4.734184169
ENSG00000205884,DEFB136,8,-0.189906253,-2.958368026,-0.358005098,0.72095603,0.929047741,-4.933088949
ENSG00000205899,BHLHA9,17,-0.362547703,-2.035762235,-0.793117362,0.429243889,0.814467314,-4.849074258
ENSG00000205903,ZNF316,7,0.050530782,4.080514928,0.426432968,0.670541283,0.914279378,-5.916015214
ENSG00000205922,ONECUT3,19,-0.123937638,1.00806269,-1.165030544,0.246271713,0.688706805,-4.923253465
ENSG00000205923,CEMP1,16,-0.010655313,-0.994578918,-0.01992443,0.984136094,0.996052199,-5.097669864
ENSG00000205927,OLIG2,21,0.019391454,0.050909852,0.074742029,0.940541962,0.985480009,-5.283482835
ENSG00000205929,C21orf62,21,-0.082583539,1.827730518,-0.814809103,0.416763853,0.807564962,-5.341300988
ENSG00000205937,RNPS1,16,0.006728293,5.606148479,0.082615285,0.934292375,0.984765004,-6.078348981
ENSG00000205978,NYNRIN,14,0.102652034,-1.305912013,0.267133696,0.78981571,0.949268387,-5.090407357
ENSG00000205981,DNAJC19,3,-0.173813586,3.831512844,-1.137828384,0.257414101,0.698592107,-5.367920294
ENSG00000206013,IFITM5,11,-1.051027435,1.487934634,-3.047351416,0.002828784,0.106302475,-1.710954261
ENSG00000206026,SMIM21,18,-0.120137113,-1.808544683,-0.335296942,0.737974976,0.934275395,-5.020163664
ENSG00000206047,DEFA1,8,0.838578157,6.753817428,0.954775638,0.341589563,0.760776104,-5.603332654
ENSG00000206052,DOK6,18,0.224014687,2.189672269,0.957531681,0.340186116,0.759555705,-5.280960379
ENSG00000206053,JPT2,16,-0.235045429,3.02255386,-1.548679538,0.124040074,0.542560772,-4.759067203
ENSG00000206069,TMEM211,22,0.698642705,-1.276868764,1.564587854,0.120260907,0.535626819,-4.329175413
ENSG00000206072,SERPINB11,18,-0.248719925,-0.114923907,-0.619632,0.536651632,0.865831932,-5.117952609
ENSG00000206073,SERPINB4,18,-0.101795101,-1.969828425,-0.223274571,0.823693949,0.960121856,-5.028856963
ENSG00000206075,SERPINB5,18,0.147838996,1.661560776,0.544140116,0.587334736,0.885012498,-5.48073447
ENSG00000206077,ZDHHC11B,5,-0.174193391,1.049160479,-0.441888314,0.659349623,0.910494349,-5.375633844
ENSG00000206102,KRTAP19-8,21,-0.183652607,-2.359391585,-0.316220386,0.752373756,0.939238628,-4.974304715
ENSG00000206104,KRTAP20-3,21,-0.630179277,-3.698703969,-1.614954476,0.108894984,0.511735927,-4.297005471
ENSG00000206105,KRTAP20-4,21,-0.525143694,-3.209744819,-1.058180974,0.292056445,0.72678057,-4.671341773
ENSG00000206106,KRTAP22-2,21,-0.162454345,-3.570048756,-0.430429314,0.667640184,0.913581238,-4.898190172
ENSG00000206113,CFAP99,4,-0.21042203,0.213680595,-0.632372417,0.528322849,0.86148166,-5.163278865
ENSG00000206127,GOLGA8O,15,0.354540436,2.633021819,2.500895951,0.013709324,0.207378324,-2.999960847
ENSG00000206140,TMEM191C,22,-0.228713498,1.980252989,-1.681753346,0.095165935,0.484485679,-4.430397382
ENSG00000206172,HBA1,16,-0.125138898,5.010398452,-0.300553047,0.764265145,0.941713252,-6.024956024
ENSG00000206177,HBM,16,-0.020561847,5.20199896,-0.067148456,0.946573061,0.987422302,-6.075150352
ENSG00000206190,ATP10A,15,-0.4429562,4.038980447,-2.773853466,0.006407812,0.152540836,-2.46358434
ENSG00000206199,ANKUB1,3,0.129661435,5.714084301,0.800417674,0.425019403,0.811991893,-5.774989312
ENSG00000206260,PRR23A,3,-0.183077917,0.721663638,-1.191478148,0.235770713,0.678809075,-4.853093482
ENSG00000206262,FOXL2NB,3,0.012092261,3.078562648,0.146354157,0.883882541,0.973609111,-5.861501371
ENSG00000206384,COL6A6,3,0.067591095,0.49916747,0.551716082,0.582148582,0.884353176,-5.263635108
ENSG00000206418,RAB12,18,0.00298579,3.601596433,0.026091545,0.979226804,0.994679775,-5.94521768
ENSG00000206422,LRRC30,18,0.169871688,-1.991049823,0.392830576,0.695127797,0.921581593,-5.010652827
ENSG00000206474,OR10C1,6,-0.132499684,-2.080137485,-0.340511742,0.734054798,0.932674031,-4.993933994
ENSG00000206503,HLA-A,6,-0.34409488,8.690052093,-2.330481214,0.021417002,0.255011686,-3.445329315
ENSG00000206527,HACD2,3,-0.148897868,4.616345577,-1.442228191,0.151791483,0.583600171,-5.065749494
ENSG00000206530,CFAP44,3,-0.127079863,2.656603853,-0.616247123,0.538875614,0.866471866,-5.596173373
ENSG00000206531,CD200R1L,3,-0.366503144,-1.476673101,-0.976906694,0.330541832,0.749717995,-4.800770614
ENSG00000206535,LNP1,3,0.068615239,-1.036616351,0.231791601,0.817086883,0.958220496,-5.131531175
ENSG00000206538,VGLL3,3,0.031098094,5.21434092,0.41732082,0.677174702,0.915950436,-5.993628874
ENSG00000206549,AC109583.1,3,0.273668266,-1.55421647,0.733608935,0.464589692,0.832478689,-4.930407381
ENSG00000206557,TRIM71,3,0.275209819,0.434806816,2.06921167,0.040630475,0.343191022,-3.704682888
